id,brand_name,brief,price,product_url,image_url
448,COOFANDY,Men's Polo Shirts Short Sleeve Print Performance Golf Shirts Fashion Casual Beach Collared T-Shirts,27.99,https://www.amazon.com/COOFANDY-Shirts-Tropical-Hawaiian-Collared/dp/B0CN11M2NN/ref=sr_1_171,https://m.media-amazon.com/images/I/71SSZGIkC-L._AC_UL320_.jpg
449,Volcom,Men's Banger Polo Shirt,12.48,https://www.amazon.com/Volcom-Banger-Shirt-Tinted-Black/dp/B09MSVYJYW/ref=sr_1_172,https://m.media-amazon.com/images/I/71PvN61iinL._AC_UL320_.jpg
450,Sailwind,Men's Waffle Knit Short Sleeve Casual Polo Shirts,25.99,https://www.amazon.com/Sailwind-Waffle-Sleeve-Casual-Shirts/dp/B0B3XPQDS9/ref=sr_1_173,https://m.media-amazon.com/images/I/81nDZ+FZRIL._AC_UL320_.jpg
451,adidas,Men's Designed 2 Move 3-Stripes Polo Shirt,21.99,https://www.amazon.com/adidas-Designed-3-Stripes-Collegiate-Burgundy/dp/B09YG788B9/ref=sr_1_174,https://m.media-amazon.com/images/I/513IxZIXKcL._AC_UL320_.jpg
452,Nautica,Men's Classic Fit Interlock Polo,26.65,https://www.amazon.com/Nautica-Mens-Classic-Interlock-Large/dp/B0B4YN5L17/ref=sr_1_175,https://m.media-amazon.com/images/I/719afUmO0RL._AC_UL320_.jpg
453,BOSS,BOSS Men's Pallas Polo Shirt,98.0,https://www.amazon.com/Hugo-Boss-Pallas-Short-Sleeve/dp/B079TZLHZ8/ref=sr_1_176,https://m.media-amazon.com/images/I/71HIJRto3kL._AC_UL320_.jpg
454,M MAELREG,Mens Polo Shirts Short and Long Sleeve Casual Solid Stylish Dry Fit Performance Designed Collared Golf Polo Shirts for Men,27.16,https://www.amazon.com/MAELREG-Performance-Moisture-Wicking-Collared/dp/B0BLCB2DWP/ref=sr_1_200,https://m.media-amazon.com/images/I/519I++4390L._AC_UL320_.jpg
455,PICKLION,Mens Long Sleeve Polo Shirts Casual Moisture Wicking Golf Polo Shirts with Pocket,25.99,https://www.amazon.com/PICKLION-Sleeve-Shirts-Moisture-Wicking/dp/B0CCXT2CRB/ref=sr_1_201,https://m.media-amazon.com/images/I/71liVkdmR8L._AC_UL320_.jpg
456,Sailwind,Men's Cotton Short Sleeve Casual Polo Shirts Fashion Classic Golf Shirts,19.99,https://www.amazon.com/Sailwind-Cotton-Sleeve-Fashion-Classic/dp/B0CY4ZT65J/ref=sr_1_202,https://m.media-amazon.com/images/I/81CVSQdeAbL._AC_UL320_.jpg
457,M MAELREG,Short and Long Sleeve Polo Shirts for Men Dry Fit Performance Moisture Wicking Sport Pin Striped Mens Golf Shirts,30.95,https://www.amazon.com/MAELREG-Performance-Lightweight-Pinstriped-Collared/dp/B0CLY4B348/ref=sr_1_203,https://m.media-amazon.com/images/I/71T72b8fwOL._AC_UL320_.jpg
458,GRACE KARIN,Mens Breathable Polo Shirts Short Sleeve Lightweight Knit Texture Golf Shirts Knitwear,25.49,https://www.amazon.com/GRACE-KARIN-Sleeve-Shirts-Breathable/dp/B0CRDRCBJT/ref=sr_1_204,https://m.media-amazon.com/images/I/71T-HlcBClL._AC_UL320_.jpg
459,ARIAT,Men's All Over Print Polo,52.95,https://www.amazon.com/Ariat-Mens-Print-Peacock-Large/dp/B0CR551V1Y/ref=sr_1_177,https://m.media-amazon.com/images/I/717Ft5-dtTL._AC_UL320_.jpg
460,COOFANDY,Mens Knit Polo Shirts Casual Long Sleeve Classic Polo Shirts Button Down Golf Shirts,34.99,https://www.amazon.com/COOFANDY-Sleeve-Vintage-Lightweight-Sweater/dp/B0C746HD5B/ref=sr_1_178,https://m.media-amazon.com/images/I/719bMA1RAmL._AC_UL320_.jpg
461,NITAGUT,Men's Polo Shirts Shorts& Long Sleeve Casual Slim Fit Workout Shirts,19.99,https://www.amazon.com/NITAGUT-Shirts-Sleeve-Casual-Workout/dp/B09XB68HTV/ref=sr_1_179,https://m.media-amazon.com/images/I/71bvajjHClL._AC_UL320_.jpg
462,COOFANDY,Men's Short Sleeve Knit Shirts Vintage Button Down Polo Shirt Casual Beach Tops,30.99,https://www.amazon.com/COOFANDY-Vintage-Shirts-Sleeve-Lightweight/dp/B0CJ32HFTC/ref=sr_1_180,https://m.media-amazon.com/images/I/81FWS0tw8aL._AC_UL320_.jpg
463,Callaway,Men's Short Sleeve Opti-Dri™ Performance Golf Polo Shirt (Size Small - 4X Big & Tall),34.88,https://www.amazon.com/Callaway-Basic-Short-Sleeve-Opti-Vent/dp/B019I9ZGP2/ref=sr_1_205,https://m.media-amazon.com/images/I/71BBGIRYtML._AC_UL320_.jpg
464,COOFANDY,Men's Golf Shirt Quick Dry Short Sleeve UFP50+ Sun Protection T-Shirts Lightweight Polo Shirts for Men,19.99,https://www.amazon.com/COOFANDY-Regular-Moisture-Wicking-XX-Large/dp/B09N6VD3GP/ref=sr_1_207,https://m.media-amazon.com/images/I/51qCb0q1iYL._AC_UL320_.jpg
465,adidas,Men's Ultimate365 Printed Golf Polo Shirt,39.74,https://www.amazon.com/adidas-Standard-Ultimate365-Printed-GRETWO/dp/B0C7KGZYBL/ref=sr_1_208,https://m.media-amazon.com/images/I/418fAYVQS7L._AC_UL320_.jpg
466,Red Kap,Men's Big and Tall Big & Tall Professional Polo Shirt,23.99,https://www.amazon.com/Red-Kap-Big-Tall-Professional-6X-Large/dp/B019XE02YW/ref=sr_1_209,https://m.media-amazon.com/images/I/91+xdlLGOIL._AC_UL320_.jpg
467,LOGEEYAR,Men Polo Shirt Slim Fit Short Sleeve Cotton Golf Shirt Solid Performance Casual T-Shirts,23.98,https://www.amazon.com/LOGEEYAR-Sleeve-Cotton-Performance-T-Shirts/dp/B08QYXJ46K/ref=sr_1_210,https://m.media-amazon.com/images/I/61PCzq6fmSL._AC_UL320_.jpg
468,Lee,"mens Classic Polo Shirt, White, Small US",14.05,https://www.amazon.com/Lee-Uniforms-Modern-Short-Sleeve/dp/B007BLNJ18/ref=sr_1_181,https://m.media-amazon.com/images/I/81R+TKHXKJS._AC_UL320_.jpg
469,IZOD,Men's Big & Tall Performance Golf Grid Polo,21.54,https://www.amazon.com/IZOD-Classic-Performance-Cobalt-Large/dp/B007A3MS8M/ref=sr_1_182,https://m.media-amazon.com/images/I/71BqyfP7BwL._AC_UL320_.jpg
470,Gildan,Adult DryBlend Jersey Short Sleeve Polo Shirt,12.29,https://www.amazon.com/Gildan-DryBlend-Jersey-Sleeve-Purple/dp/B00AWVY2JC/ref=sr_1_183,https://m.media-amazon.com/images/I/616CJKHca-L._AC_UL320_.jpg
471,SWISSWELL,Polo Shirts for Men with Pocket Short Sleeve Lightweight Performance Golf Shirt Mesh Summer Casual Shirt,27.99,https://www.amazon.com/SWISSWELL-Sleeve-Shirts-Lightweight-T-Shirts/dp/B09R45CF2W/ref=sr_1_184,https://m.media-amazon.com/images/I/81miY47uvWL._AC_UL320_.jpg
472,Nautica,"Men's Mesh Polo Shirt Slim Fit (Large, White)",31.99,https://www.amazon.com/Nautica-Mens-Shirt-Large-White/dp/B077JBQPZ7/ref=sr_1_211,https://m.media-amazon.com/images/I/611BGAMrz8L._AC_UL320_.jpg
473,GRACE KARIN,Men's Knitted Polo Shirt Short Sleeve Casual Muscle Golf Shirts,14.99,https://www.amazon.com/GRACE-KARIN-Shirts-Sleeve-Apricot/dp/B0CQ2PGHD8/ref=sr_1_212,https://m.media-amazon.com/images/I/81HC5UUe+VL._AC_UL320_.jpg
474,COOFANDY,Mens Knit Polo Shirts Short Sleeve Quarter Zip Polo Casual Collar T Shirts Retro Polo Shirt Classic Golf Shirt,26.99,https://www.amazon.com/COOFANDY-Shirts-Sleeve-Knitted-Fashion/dp/B0CR1BV23T/ref=sr_1_213,https://m.media-amazon.com/images/I/61kZuNnpeJL._AC_UL320_.jpg
